Content,Video title,Video publish time,Duration,Average view duration,Stayed to watch (%),Average percentage viewed (%),New viewers,Regular viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,0:00:27,78.17,83.65,0,0,34838847,155526.0243,102851,6257163,6.19
BV4cpH3lDt0,Best Makeup 🤣,"Oct 2, 2025",29,0:00:27,100,95.52,,,5,0.0231,0,3,0
0NMT9nrJzuI,Fake family vlogs @souravjvlogs 💀 #roast #shorts,"Apr 26, 2024",43,0:00:43,100,100.46,,,4,0.048,0,6,66.67
9OjZUPHBM9g,kids on instagram 😂 #shorts,"Oct 6, 2024",30,0:00:26,100,88.3,,,6,0.0442,0,0,
QaXodascN24,sorry BTS army 😂 #shorts,"Aug 16, 2024",15,0:00:16,100,106.79,,,5,0.0222,0,0,
kmwKp3a_Sro,easy way to earn money 😂,"Jul 13, 2024",11,0:00:09,100,84.28,,,2,0.0052,0,0,
Jt34Cdtve28,BTS Army VS Indian Hater 😂 #short,"Aug 16, 2024",15,0:00:13,100,91.3,,,6,0.0228,0,0,
lMQoTH_hUTA,Systumm fail Diss-track,"Apr 6, 2024",34,0:00:38,100,111.88,,,2,0.0211,0,0,
yCXXegh7Zsw,reels ki rani 😁#shorts #funny,"Jun 5, 2024",48,0:00:45,100,95.76,,,4,0.0511,0,0,
 -pvZz7Zj4QM,Muskan Karia Roast  💅,"Oct 1, 2025",45,0:00:23,90.91,52.9,,,23,0.1332,0,38,26.32
ZGPkoUok00w,China ka choda 👽,"Apr 14, 2024",41,0:00:37,88.24,92.04,,,15,0.1572,2,15,40
PP7MXNosd8E,Khyati G Sharma Roast,"Apr 28, 2025",62,0:00:26,87.77,43.33,,,7531,45.0237,9,32985,11.47
MNsiPqneemU,Cute Chhaprii 🤣,"Dec 13, 2025",32,0:00:26,87.38,82.12,,,25626,123.4272,82,3649,4.11
95ej3kw2m1I,Biggest Chappri Of World 🤣,"Dec 8, 2025",38,0:00:30,86.57,80.42,,,21256,127.869,36,2965,6
 -Cr2c3tmDdQ,Biggest Chappri Ladkiya 🤣,"Dec 7, 2025",30,0:00:25,86.46,84.25,,,25031,111.6323,41,2767,3.11
CxCuM-dTK10,Kya Aunty Sundar Hai 🤣,"Dec 24, 2025",37,0:00:30,86.39,81.12,,,28906,165.3236,111,8925,1.75
QkNhIPcXd8E,Chapri Salon Wala 🤣,"Dec 9, 2025",28,0:00:23,86.1,84.67,,,25421,104.1192,31,3464,1.7
VIE4vUMOEBY,Power Of Makeup 3 🤣,"Jan 26, 2026",29,0:00:24,85.92,83.43,,,33696,139.9316,24,7481,5.43
leWRMhxlbF8,Puneet Superstar Ka Khana 🤣,"Dec 5, 2025",26,0:00:23,85.1,92.26,,,29270,118.5494,58,4299,3.23
PVEeJUVZ4Bo,Biggest Heart Break 2 🤣,"Dec 11, 2025",37,0:00:31,85.09,84.26,,,26216,143.1122,85,3141,4.2
MItJYqfKcHA,Arush Bhola Vs Arbaaz Patel 🤯,"Sep 12, 2025",37,0:00:30,85,81.69,,,24130,134.1449,12,18757,5.02
b0EW1fPrBbA,Biggest Chapri Bike 🤣,"Nov 17, 2025",31,0:00:26,84.14,84.81,,,29218,125.2458,58,5275,1.95
QApXRSMKU5k,Powerful Shadi Ever 🤣,"Jun 8, 2026",34,0:00:25,83.89,74.21,,,25572,116.6112,321,2261,5.26
gtzETz-F2QQ,Chappri Ka Power 🤣,"Dec 22, 2025",29,0:00:22,83.86,76.35,,,24005,102.1589,144,4311,3.9
-6UJPIo1uW0,Dubai Ka Truck Driver 🤣,"Jan 16, 2026",33,0:00:25,83.85,78.16,,,26606,122.7593,48,6384,3.74
UW5VAQv9cAw,College Ka Pyar 🤣,"Dec 23, 2025",35,0:00:29,83.84,85.63,,,27850,148.7986,79,8757,2.01
zbP7i3VOKHU,Kashish Kapoor Comment On Bappa 😱,"Sep 6, 2025",32,0:00:24,83.7,76.1,,,13566,56.515,22,2798,2.14
F2y-xgtzEHM,Ye Chahta Kya Hai 🤣,"Dec 3, 2025",35,0:00:29,83.38,83.96,,,36822,184.2595,167,3153,4.57
Dwdgbe2F8Xc,Best Tecknologia 🤣,"Oct 28, 2025",36,0:00:23,83.31,65.09,,,17788,75.4461,8,6129,3.07
CF0IlaMebJ0,Ye Nahi Sudhregi 🤣,"Dec 9, 2025",41,0:00:33,83.26,82.64,,,24957,154.2524,37,3054,3.8
aiaxyUtU8q8,Puneet Superstar Is Back 🤣,"Nov 2, 2025",33,0:00:27,83.23,84.57,,,47471,214.3349,119,8235,4.32
Soa0LZNHRx8,toxic husband 🤫 #shorts,"Aug 24, 2024",16,0:00:11,83.1,72.3,,,3835,12.3111,4,804,2.99
