content,video_title,video_publish_time,duration,average_view_duration,stayed_to_watch_percent,average_percentage_viewed_percent,new_viewers,regular_viewers,views,watch_time_hours,subscribers,impressions,impressions_click_through_rate_percent,performance_tier,publish_hour,day_of_week,title_length,video_age_days,predicted_tier
Total,Unknown,,34.0,0:00:27,78.17,83.65,0.0,0.0,34838847,155526.0243,102851,6257163,6.19,Top,0.0,0.0,7,0.0,Top
BV4cpH3lDt0,Best Makeup 🤣,2025-10-02,29.0,0:00:27,100.0,95.52,0.0,0.0,5,0.0231,0,3,0.0,Low,0.0,3.0,13,268.0,Low
0NMT9nrJzuI,Fake family vlogs @souravjvlogs 💀 #roast #shorts,2024-04-26,43.0,0:00:43,100.0,100.46,0.0,0.0,4,0.048,0,6,66.67,Low,0.0,4.0,48,792.0,Low
9OjZUPHBM9g,kids on instagram 😂 #shorts,2024-10-06,30.0,0:00:26,100.0,88.3,0.0,0.0,6,0.0442,0,0,3.02,Low,0.0,6.0,27,629.0,Low
QaXodascN24,sorry BTS army 😂 #shorts,2024-08-16,15.0,0:00:16,100.0,106.79,0.0,0.0,5,0.0222,0,0,3.02,Low,0.0,4.0,24,680.0,Low
kmwKp3a_Sro,easy way to earn money 😂,2024-07-13,11.0,0:00:09,100.0,84.28,0.0,0.0,2,0.0052,0,0,3.02,Low,0.0,5.0,24,714.0,Low
Jt34Cdtve28,BTS Army VS Indian Hater 😂 #short,2024-08-16,15.0,0:00:13,100.0,91.3,0.0,0.0,6,0.0228,0,0,3.02,Low,0.0,4.0,33,680.0,Low
lMQoTH_hUTA,Systumm fail Diss-track,2024-04-06,34.0,0:00:38,100.0,111.88,0.0,0.0,2,0.0211,0,0,3.02,Low,0.0,5.0,23,812.0,Low
yCXXegh7Zsw,reels ki rani 😁#shorts #funny,2024-06-05,48.0,0:00:45,100.0,95.76,0.0,0.0,4,0.0511,0,0,3.02,Low,0.0,2.0,29,752.0,Low
 -pvZz7Zj4QM,Muskan Karia Roast  💅,2025-10-01,45.0,0:00:23,90.91,52.9,0.0,0.0,23,0.1332,0,38,26.32,Low,0.0,2.0,21,269.0,Low
ZGPkoUok00w,China ka choda 👽,2024-04-14,41.0,0:00:37,88.24,92.04,0.0,0.0,15,0.1572,2,15,40.0,Low,0.0,6.0,16,804.0,Low
PP7MXNosd8E,Khyati G Sharma Roast,2025-04-28,62.0,0:00:26,87.77,43.33,0.0,0.0,7531,45.0237,9,32985,11.47,Mid,0.0,0.0,21,425.0,Top
MNsiPqneemU,Cute Chhaprii 🤣,2025-12-13,32.0,0:00:26,87.38,82.12,0.0,0.0,25626,123.4272,82,3649,4.11,Top,0.0,5.0,15,196.0,Top
95ej3kw2m1I,Biggest Chappri Of World 🤣,2025-12-08,38.0,0:00:30,86.57,80.42,0.0,0.0,21256,127.869,36,2965,6.0,Top,0.0,0.0,26,201.0,Top
 -Cr2c3tmDdQ,Biggest Chappri Ladkiya 🤣,2025-12-07,30.0,0:00:25,86.46,84.25,0.0,0.0,25031,111.6323,41,2767,3.11,Top,0.0,6.0,25,202.0,Top
CxCuM-dTK10,Kya Aunty Sundar Hai 🤣,2025-12-24,37.0,0:00:30,86.39,81.12,0.0,0.0,28906,165.3236,111,8925,1.75,Top,0.0,2.0,22,185.0,Top
QkNhIPcXd8E,Chapri Salon Wala 🤣,2025-12-09,28.0,0:00:23,86.1,84.67,0.0,0.0,25421,104.1192,31,3464,1.7,Top,0.0,1.0,19,200.0,Top
VIE4vUMOEBY,Power Of Makeup 3 🤣,2026-01-26,29.0,0:00:24,85.92,83.43,0.0,0.0,33696,139.9316,24,7481,5.43,Top,0.0,0.0,19,152.0,Top
leWRMhxlbF8,Puneet Superstar Ka Khana 🤣,2025-12-05,26.0,0:00:23,85.1,92.26,0.0,0.0,29270,118.5494,58,4299,3.23,Top,0.0,4.0,27,204.0,Top
PVEeJUVZ4Bo,Biggest Heart Break 2 🤣,2025-12-11,37.0,0:00:31,85.09,84.26,0.0,0.0,26216,143.1122,85,3141,4.2,Top,0.0,3.0,23,198.0,Top
MItJYqfKcHA,Arush Bhola Vs Arbaaz Patel 🤯,2025-09-12,37.0,0:00:30,85.0,81.69,0.0,0.0,24130,134.1449,12,18757,5.02,Top,0.0,4.0,29,288.0,Top
b0EW1fPrBbA,Biggest Chapri Bike 🤣,2025-11-17,31.0,0:00:26,84.14,84.81,0.0,0.0,29218,125.2458,58,5275,1.95,Top,0.0,0.0,21,222.0,Top
QApXRSMKU5k,Powerful Shadi Ever 🤣,2026-06-08,34.0,0:00:25,83.89,74.21,0.0,0.0,25572,116.6112,321,2261,5.26,Top,0.0,0.0,21,19.0,Top
gtzETz-F2QQ,Chappri Ka Power 🤣,2025-12-22,29.0,0:00:22,83.86,76.35,0.0,0.0,24005,102.1589,144,4311,3.9,Top,0.0,0.0,18,187.0,Top
-6UJPIo1uW0,Dubai Ka Truck Driver 🤣,2026-01-16,33.0,0:00:25,83.85,78.16,0.0,0.0,26606,122.7593,48,6384,3.74,Top,0.0,4.0,23,162.0,Top
UW5VAQv9cAw,College Ka Pyar 🤣,2025-12-23,35.0,0:00:29,83.84,85.63,0.0,0.0,27850,148.7986,79,8757,2.01,Top,0.0,1.0,17,186.0,Top
zbP7i3VOKHU,Kashish Kapoor Comment On Bappa 😱,2025-09-06,32.0,0:00:24,83.7,76.1,0.0,0.0,13566,56.515,22,2798,2.14,Mid,0.0,5.0,33,294.0,Mid
F2y-xgtzEHM,Ye Chahta Kya Hai 🤣,2025-12-03,35.0,0:00:29,83.38,83.96,0.0,0.0,36822,184.2595,167,3153,4.57,Top,0.0,2.0,19,206.0,Top
Dwdgbe2F8Xc,Best Tecknologia 🤣,2025-10-28,36.0,0:00:23,83.31,65.09,0.0,0.0,17788,75.4461,8,6129,3.07,Mid,0.0,1.0,18,242.0,Mid
CF0IlaMebJ0,Ye Nahi Sudhregi 🤣,2025-12-09,41.0,0:00:33,83.26,82.64,0.0,0.0,24957,154.2524,37,3054,3.8,Top,0.0,1.0,18,200.0,Top
