month,views,watch_time_hours,subscribers,impressions
2023-08,2146,39.8197,8,2621
2023-11,15620,124.20500000000001,25,3359
2023-12,18986,98.3124,30,8430
2024-01,6338,39.2685,15,2148
2024-02,5597,27.3452,15,4118
2024-03,33255,150.678,50,13766
2024-04,9687,46.4913,26,8030
2024-05,17412,61.8672,24,6563
2024-06,24076,132.7406,67,8687
2024-07,21424,105.7038,29,14637
2024-08,8754,33.397,16,4420
2024-09,4675,25.040300000000002,9,4981
2024-10,43188,248.4487,70,22350
2024-11,181801,890.3702999999999,279,114639
2024-12,139790,874.7944,107,52418
2025-01,27160,164.4749,33,15492
2025-02,7546,39.7042,5,10571
2025-03,33735,145.1023,27,29434
2025-04,40541,177.9291,40,71744
2025-05,77514,338.3724,72,56231
2025-06,507474,2897.0195,831,1945895
2025-07,15803,67.7877,14,18727
2025-08,43477,228.0555,98,25394
2025-09,295491,1325.3367,385,138701
2025-10,20116737,92088.54400000001,39429,2182643
2025-11,847933,3566.9362,2968,126637
2025-12,6420772,24956.595699999998,14880,351151
2026-01,3669263,16927.2193,6871,86492
2026-02,629162,2416.5308,6714,102436
2026-03,584611,2526.2790999999997,22691,77976
2026-04,11858,49.1512,12,2804
2026-05,175151,785.7327,635,42641
2026-06,643226,2893.3565000000003,15294,11849
NaT,34838847,155526.0243,102851,6257163
