content,video_title,video_publish_time,duration,average_view_duration,stayed_to_watch_percent,average_percentage_viewed_percent,new_viewers,regular_viewers,views,watch_time_hours,subscribers,impressions,impressions_click_through_rate_percent,performance_tier,publish_hour,day_of_week,title_length,video_age_days,predicted_tier,month
Total,Unknown,,34.0,0:00:27,78.17,83.65,0.0,0.0,34838847,155526.0243,102851,6257163,6.19,Top,0.0,0.0,7,0.0,Top,NaT
 -JpXh_UhbvI,Best Makeup Transition 🤣,2025-10-02,33.0,0:00:28,80.97,86.93,0.0,0.0,18220961,84421.023,31212,270430,13.69,Top,0.0,3.0,24,268.0,Top,2025-10
8s8zpBTq0CQ,Dukan Kharid Liya 🤣,2025-12-28,28.0,0:00:24,76.86,86.8,0.0,0.0,5354579,20097.9031,12519,19501,3.62,Top,0.0,6.0,19,181.0,Top,2025-12
jIAyYNzf9Z0,Power Of Makeup 2 🤣,2026-01-10,33.0,0:00:27,80.82,82.61,0.0,0.0,3103084,14538.242,5583,13115,3.89,Top,0.0,5.0,19,168.0,Top,2026-01
A_lDcSthfIE,Biggest Chapri Is Back 🤣,2025-10-18,31.0,0:00:23,71.51,76.57,0.0,0.0,1181435,4508.6277,6810,1685774,8.86,Top,0.0,5.0,24,252.0,Top,2025-10
Ur5gW1TxO6k,Best Food Lover 🤣,2026-06-03,36.0,0:00:26,76.23,73.12,0.0,0.0,362232,1549.2525,12060,4035,7.76,Top,0.0,2.0,17,24.0,Top,2026-06
79SNsC2S3JQ,Paisa Kamane Ka Technologia 🤣,2026-01-07,32.0,0:00:25,79.49,79.3,0.0,0.0,348475,1456.5817,977,9776,5.02,Top,0.0,2.0,29,171.0,Top,2026-01
oxSZzgBZK6U,Kajal Roast Devika Gupta 😂,2025-06-25,42.0,0:00:32,79.29,77.82,0.0,0.0,342752,1962.4774,634,1905340,4.28,Top,0.0,2.0,26,367.0,Top,2025-06
ovzTHABOIJ0,Power Of Bihari 🤣,2026-03-03,33.0,0:00:23,82.43,70.31,0.0,0.0,279579,1210.3488,14103,11460,3.77,Top,0.0,1.0,17,116.0,Mid,2026-03
PKlebzaaLB8,Power Of Overacting 🤣,2026-06-19,39.0,0:00:29,77.51,75.38,0.0,0.0,221602,1062.9081,2587,1336,11.83,Top,0.0,4.0,21,8.0,Top,2026-06
D0t2n32m_50,Gobar Ki Roti Kha Li 🤣,2025-11-14,30.0,0:00:27,76.47,90.37,0.0,0.0,198418,839.7762,1632,13614,9.13,Top,0.0,4.0,22,225.0,Top,2025-11
6J9UuiDTNAU,Sasta Makeup 🤣,2026-02-07,26.0,0:00:21,67.09,84.04,0.0,0.0,185761,596.1235,2235,8120,7.01,Top,0.0,5.0,14,140.0,Top,2026-02
EYwUjOFbrC8,Power Of Makeup 4 🤣,2026-02-23,27.0,0:00:22,77.11,84.92,0.0,0.0,164024,596.3629,2922,9599,4.97,Top,0.0,0.0,19,124.0,Top,2026-02
HexB_FwtsP4,Latter Par Chai Gira Diya 🤣,2025-12-30,29.0,0:00:25,67.17,88.78,0.0,0.0,73624,277.679,116,14034,8.48,Top,0.0,1.0,27,179.0,Top,2025-12
3nU-MA7RTJw,Biwi No 1 🤣,2025-11-22,29.0,0:00:21,73.89,74.72,0.0,0.0,65165,249.1126,59,6018,6.51,Top,0.0,5.0,11,217.0,Top,2025-11
Tw04ZbnTZTI,Girls In Holi 🤣,2026-03-07,31.0,0:00:23,76.0,75.53,0.0,0.0,64795,257.1214,3437,8661,3.98,Top,0.0,5.0,15,112.0,Top,2026-03
hmdYneZZwJw,kajal sejal dark #shorts,2024-11-18,25.0,0:00:19,69.62,77.85,0.0,0.0,58161,310.0682,114,56640,9.15,Top,0.0,0.0,24,586.0,Top,2024-11
NlsusbKsu68,The Power Of Makeup 🤣,2025-10-09,34.0,0:00:26,68.43,79.34,0.0,0.0,50169,199.3252,98,7654,4.26,Top,0.0,3.0,21,261.0,Top,2025-10
PlPhYxJXG2k,Power Of Tattoo 🤣,2026-03-01,30.0,0:00:23,78.68,78.79,0.0,0.0,48538,205.7533,1165,9160,5.85,Top,0.0,6.0,17,118.0,Top,2026-03
aiaxyUtU8q8,Puneet Superstar Is Back 🤣,2025-11-02,33.0,0:00:27,83.23,84.57,0.0,0.0,47471,214.3349,119,8235,4.32,Top,0.0,6.0,26,237.0,Top,2025-11
7OB56dzyL1o,Tiktok Ke No 1 Chappri 🤣,2025-11-30,34.0,0:00:27,81.76,82.1,0.0,0.0,47083,232.4312,88,4539,5.24,Top,0.0,6.0,24,209.0,Top,2025-11
ANrSnZ135cs,Biggest Chappri Is Back 🤣,2025-10-23,33.0,0:00:27,78.38,84.67,0.0,0.0,46577,206.5723,113,9583,6.73,Top,0.0,3.0,25,247.0,Top,2025-10
uUl-GazDFDI,Best Makeup Transition 3 🤣,2025-11-28,29.0,0:00:24,79.67,85.9,0.0,0.0,41632,174.7888,37,4446,6.64,Top,0.0,4.0,26,211.0,Top,2025-11
m4qmQLLnwYc,Power Of Makeup 🤣,2025-10-06,38.0,0:00:29,68.85,78.85,0.0,0.0,40208,183.2624,100,9442,8.04,Top,0.0,0.0,17,264.0,Top,2025-10
TWYPuavC7R4,Biggest Chappri Is Back Again 🤣,2025-11-24,32.0,0:00:26,79.38,82.54,0.0,0.0,39864,170.0183,83,4803,7.25,Top,0.0,0.0,31,215.0,Top,2025-11
GlTloA1mGBE,Power Of Makeup 5 🤣,2026-03-22,39.0,0:00:30,72.73,77.76,0.0,0.0,39062,204.8067,1004,5807,5.99,Top,0.0,6.0,19,97.0,Top,2026-03
